Style Name,Style Number,Status,Tier
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Safari Basic Ribbed Tank Top,S1120077,Retired,Retired
Safari Basic Satin Cap Sleeved Top,S1121018,Active,
Safari Basic Shirt Tent Dress,,Retired,Retired
Safari Basic Shirt Tent Dress,,Retired,Retired
Safari Basic Shirt Tent Dress,,Retired,Retired
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Safari Bush 3/4 Sleeve Top,,Active,
Safari Bush 3/4 Sleeve Top,,Active,
,,,
Safari Bush Asymmetrical Sweater Poncho,S0424050,Retired,Retired
Safari Bush Cropped Short Sleeve Shacket,,Retired,Retired
Safari Bush Drawstring Shorts,,Active,
Safari Bush Drop Shoulder Long Sleeve Top,,Retired,Retired
Safari Bush Drop Shoulder Long Sleeve Top,,Retired,Retired
Safari Bush Men's Long Sleeve T-shirt,,Active,
Safari Bush Men's Long Sleeve T-shirt,,Active,
Safari Bush Sweatshirt,,Retired,Retired
Safari Bush Sweatshirt,S0524187,Retired,Retired
Safari Bush Yoga Wrap,,Active,
,,Active,
,,Active,
Safari By Vivo Mens Cotton Long Sleeve Shirt,S0925062,Retired,Retired
,,,
Safari By Vivo Mens Cotton Pants,S0925061,Retired,Retired
Safari By Vivo Mens Cotton Short Sleeve Shirt,S0925060,Retired,Retired
Safari By Vivo Mens Cotton Shorts,S0925059,Retired,Retired
,,Active,
Safari Chui 3/4 Sleeve A-Line Dress,S1024009,Retired,Retired
Safari Chui Cropped Jacket,S1024007,Retired,Retired
Safari Chui Heavy Shirt,S1024013,Active,
Safari Chui Jodhpur Pants,S1024019,Retired,Retired
Safari Chui Lined Jacket,S1024005,Active,
Safari Chui Placket Top,S1024011,Retired,Retired
Safari Chui Wide Leg Waistband Shorts,S1024014,Active,
Safari Dila  Poncho,S0724017,Active,Core Performer
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Safari Fitted Top,S,Active,
Safari Hawi 3/4 Sleeve Reversible Kimono,,Active,
Safari Hawi 3/4 Sleeve Reversible Kimono,,Active,
Safari Hawi 3/4 Sleeve Reversible Kimono,,Active,
